Unnamed: 0,Customer Name,Review Rating,Review Title,Review Content,Product Name,polarity
40,shailesh,5.0 out of 5 stars,Samsung m31 all rounder  best mobile.,best camera good battery life eat body material average weight best performance best display,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Complementary 3 month Prime Membership",0.71
41,Ajay KS,5.0 out of 5 stars,Best Value for Money in this Range. Go for it without any doubt.,best thing get price reputed brand made india tag first time ordered first day online launch happy im writing days usage different experience samsung consistent compared mobile brands ive used earliergood android 10 beautiful looks finally delete sms notification display excellent blue light filter performance good heating lagging real racing worked fine 6000 mah battery big 128 gb storage pretty good 512 gb card supported dedicated external card slot dedicated sim slots support lte fast charging 15w charger top phone phone came 0 charge charged fast mobile speakers sound good prefer external speakers better bass music camera really good macro performance good look skin tatoo photo dust perticles deskphone photo photos m31 phone front rear camera support fhd video 3840x2160 may require carry dslr everyehere face unlock figureprint sensor response good received next day 11 good thin ok doesnt samsung dex started boot screen gave little shock selected reboot option every thing smooth android updated many application updates normal case appeared within days launch update smooth issue feels delicate hand rs49 cover good enough wrongly ordered black set blue 49 reorder blue one well called samsung store information availability date still call themfeedback feels good hand use powerhouse feel update days use dont doubt nowgo without doubt,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Complementary 3 month Prime Membership",0.30461956521739125
42,surojit das,1.0 out of 5 stars,Poor camera,3rd class front camera 32 mp front camera n looks like 2mp front camera disappointed kind front camera need refund,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Complementary 3 month Prime Membership",-0.05000000000000001
43,Riddham Jain,1.0 out of 5 stars,"False ads, poor camera quality, inefficient battery management",lets begin obvious phones quality doesnt meet claims madecons1 camera quality picture quality awful worse 8mp camera pixelization obvious definitely 64mp camera believe claims samsung might make quad camera use macro camera reminds decade vga cameras common2 battery samsung may claim battery last two days didnt last long netflix prime video heavy games used makes two biggest features useless3 amazons policy case dont like phone amazon made sure stuck switch 10 day return policy 10 day replacement policy dowright wrong hold onto shutters physical mobile stores days yet request replacement inspection phone buyers site understand fact replacement occur almost 10th day purchase still keeps uneasepros1 display screen quality good adjustment options warm light cold light2 performance streaming videos playing heavy games smooth first 4 days samsung known fast deterioration performance keep eyes ears open3 sound speaker quality okay upto mark noisy place fail hear crispness boom,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Complementary 3 month Prime Membership",0.021739130434782608
44,Anshul,1.0 out of 5 stars,Inferior quality and built,using 3 days 6000 mah battery name work 1125 days moderate usage64mp camera doesnt support zoom camera doesnt support 60fps video recordingbuild quality good plastic back lots figure prints minutes handling look new secondsface unlock slowheat issue charging heavy usagefull charge takes 3 hrswould recommend buy looking good camera phonego brands like oppo redmi giving much better quality,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Complementary 3 month Prime Membership",0.2623376623376623
45,Abhinav,1.0 out of 5 stars,Serious Issue,phone wrapped dust although seal packed still many dust screen back side shows security concerns amazon samsung seller must draw attention dust reached seal packed box im lacking trust amazonsamsung seller either phone used components might replaced brand new phonethere exists dusts built factory shows playing customer productphone nice large battery backup 2 days 64 display big camera perfect 6gb ram enough daily usage things good heating issuehowever concern dust came brand newso could give 5 starbut 1 enoughbeware amazonsamsung seller,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Complementary 3 month Prime Membership",0.3150649350649351
46,abin abraham,1.0 out of 5 stars,Not good at alll,software working sounds media cant attend calls every 5 mints phone gone switched even though retraining option,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Complementary 3 month Prime Membership",0.0
47,Akshaykumar Patil,2.0 out of 5 stars,Samsung it's not fair .,phone camera good samsung says 64 mega pixel photos like 8 megapixels photo detailing good also processor upton mark time slow hang multi function use using keyboard keyboard hide automatically 1 second mobile variant 6 gb 128 gb dont waste time money,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Complementary 3 month Prime Membership",0.18
48,Veerababu Puli,1.0 out of 5 stars,Worst phone,camera front worst mark waste money,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Complementary 3 month Prime Membership",-0.6
49,TUSHAR GOMASE,3.0 out of 5 stars,Bad Product by Samsung,samsung performance seems launched without proper test n trials already m30 decided buy m31 6gb got shocked see poor performance n battery life 64mp images cant sent easily someone whatsapp camera give errors n battery life worst m30 5000mh mobile heats charging,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage) - Get Complementary 3 month Prime Membership",-0.33333333333333337
50,Alok Mishra,5.0 out of 5 stars,Average Phone. Critical review for Samsung so that they develop better features,first glance looks bit bulky camera display etc satisfactory overall good non chinese phonehowever improvement tried give critical feedback company phone easy writing sothat samsung india take critical review improvementbatterybattery 7k mha draining fast overall backup time slightly better average phoneuser interfaceuser interface needs tremendous improvement cant take screenshot easily need learn fine motor coordination fingers powervolume button microsecond precision three days discovered taking screenshot swapping screen easy method taking screenshot easy find setting section automatic redial isnt available also setting section searching basic operation like redial call waiting etc either missing difficult access ui intelligent intuitive call recording take permission user starts recording calldolby sounddolby sound effect excellent available external speaker inbuilt speaker dont dolby effect hv buy headphone external speaker experiencing dolby sound effect dolby software impressive work cheapest headphone samsungs inbuilt speaker doesntexternal outlookread somewhere phone 3d prism like glastic body glastic seems discovery new material glassplastic looks transparent shining reality cheap looking smooth slippery plastic back body also prone scratches neither water resistant sometimes generates heat price segment samsung easily provide metallic back better appearance transfer heatoverall good non chini phone good camera display bit bulky satisfactory speed scope tremendous improvement ui setting bit overpriced,"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB Storage)",0.29700956937799045
51,Sanjeev Kumar,1.0 out of 5 stars,"Not recommend, if you want waste your  money  then purchase",cons_overpricedbattery drain fast normal uses give 24 hours backupsound quality sobuild quality goodpros_good processorgood camerauser interface goodfinger print sensor working fast times missed outafter six days uses impressed camera performance display fingerprint working processordisappointed battery performance brother realme 2 giving easily 2days battery backup 4250mah phone horrible battery backup 24 hours 7000 doubt 7000 man battery like 2000 2500mah heating issue also faced charging,"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB Storage)",0.1638888888888889
